YEAR;REST OF DATE;1ST ROW;HEADING [2ND ROW];3RD ROW;MILESTONE;TYPE;IMAGE URL;CTA 1;LINK 1;CTA 2;LINK 2;CTA 3;LINK 3
1994;;;Freaknet Medialab;The first Italian medialab is born: freaknet.org in Sicily, co-founded by some of the people at the origin of Dyne.org;;;;;freaknet.org;;;;
1994;;;Metro Olografix;Metro Olografix is born in Pescara, cultural association for telematic cultures;;;;;olografix.org;;;;
1997;;;TIG97 demoscene event;The Italian Gathering demo party;;;;;http://storico.olografix.org/ig97;;;;
1997;;;Giardini Pensili;Theatre cooperation with Giardini Pensili performing live video coding for various projects: Affreschi, Nishmat Hashmal, Il Cartografo, Trance Bakxai;;;;;https://giardini.sm;;;;
1997;;;Radio #Cybernet;The first Internet streaming radio in Italy is born out of the #cybernet IRC channel;;;;;https://radiocybernet.org;;;;
1998;;;Hackmeeting;The first hackmeeting takes place in a squat in Firenze (CPA) gathering all the Italian hacker communities at large, plus members of CCC and Hacktic. Since then the hackmeeting continues as an annual meeting, taking place every year in a different place in Italy.;0;;;;https://hackmeeting.org;;;;
1998;;;TIG98 demoscene event;;;;;;http://storico.olografix.org/tig98;;;;
;;;;;;;;;;;;;
2000;29/03;;Dyne.org on-line ;Dyne.org is born from the diaspora of the Freaknet brotherhood;0;;;;https://dyne.org;;;;
2000;06/08;;net.congestion;Dyne.org crew participats to the International Festival of Streaming Media in Amsterdam, Tactical Media;;;;;http://www.tacticalmediafiles.net/events/4682/net_congestion;;;;
2000;December;;Hasciicam;New software published: Hasciicam, (h)ascii for the masses! Converting live video into ASCII and streaming it online Also reviewed on slashdot, among other uses the software is deployed in Sun labs to gather entropy from lava lamps.;0;software;;;https://ascii.dyne.org;;;;
;;;;;;;;;;;;;
2001;31/05;;FreeJ 2001;New software publication: FreeJ, vision mixer to set the veejay free.;;;;;https://freej.dyne.org;;;;
2001;September;;Sophisticated Soiree;Premiere of Sophisticated Soiree at Ars Electronica, Linz The audience hearthbeats controll sound and visuals in a performance setting inspired by an episode of the Cryptonomicon by Neal Stephenson Performed in: ARS festival (Linz, 2001), Steirischerherbst (Graz, 2001), Berliner Festspiele (Berlin, 2002), ZKM Intermedium2 (Karlsruhe, 2002);;art;;;https://webarchive.ars.electronica.art/en/archives/festival_archive/festival_catalogs/festival_catalog.asp%3FiProjectID=8199.html;;;;
2001;11/09;;MuSE;MuSE, the Multiple Streaming Engine software for independent Internet radios is released free and open source.;0;software;;;https://archive.flossmanuals.net/muse/;;;;
2001;November;;TUBOCATODICO;Premiere of TUBOCATODICO :: kill-a-tv today! Theatre performance on the mind-control operated on people by TV networks Performed in: Anarres (Bari), Forte Prenestino (Roma), CSOA Bulk (Milano), TPO (Bologna), ESC Mur.at (Graz);;art;;;;;;;
;;;;;;;;;;;;;
2002;22/03;;Intermedium2 award;The Sophisticated Soiree audio/visual performance wins the Intermedium2 award at ZKM in Karlsruhe;;art;;;https://zkm.de/de/event/2002/03/a-sophisticated-soiree-1;;;;
2002;24/11;;Palazzo delle Esposizioni;Dyne.org artists and hackers perform in a massive party dance-floor setup in the middle of Rome, using only free software and live coding using FreeJ and self-constructed computers on stage.;;art;;;;;;;
2002;12/09;;Next Five Minutes;The fourth and last edition of the Next 5 Minutes tactical media festival takes place in Amsterdam, with the participation of several Dyne.org hackers.;;;;;;;;;
2002;;;FARAH;Net.art project  to discover and document what nowadays remains untouched by the war within the palestinian popular culture: everything in the tales of childrens and older people which still reaches to have nothing to do with the daily horror of war, which risks to pervade unreversibly the identity of a population.;;art;;;https://jaromil.dyne.org/journal/farah.html;;;;
2002;;;ASCII Shell Forkbomb;;0;art;;;;;;;
;;;;;;;;;;;;;
2003;21/05;;PEAM;The first edition of the PEAM (Pescara Electronic Artists Meeting) takes place with the participation of Dyne.org artists and hackers, including a performance of TUBOCATODICO.;;art;;;https://www.exibart.com/exiwebart/exiwebart_report-peam-2003-pescara-ecoteca/ | https://www.youtube.com/watch?v=PIAlZxWbEa8&t=28s;;;;
2003;25/07;;Otokultivator;Dyne.org crews program educational tracks on free and open source software in art during a series of youth camps in Vis, Croatia;;;;;;;;;
2003;08/08;;Makrolab residency;A crew of Dyne.org hackers goes to live into the Makrolab for two weeks, on a desert island in the middle of the Venetian bay. There an intensive period of development takes place, from which the dyne:bolic 1.0 release will be born;;;;;;;;;
2003;24/09;;dyne:bolic v1;;0;software;;;;;;;
;;;;;;;;;;;;;
2004;;;Streamtime;Haan al-Irsaal (Arabic for Streamtime), was born in the spring of 2004 when two journalists and a hacker joined forces with the purpose to promote independent, free speech web-radio and blogging from war-torn Iraq and its Diaspora.;;;;;;;;;
2004;25/05;;Trans.hackmeeting;The Trans.hackmeeting takes place in Pola, Croatia, in the premises of the Monteparadiso squat. Dyne.org crews participate to organize this trans-national hacker meeting at the eastern borders of Europe, also releasing THK, an open source intro/invitation to the event.;;;;;https://www.pouet.net/party.php?which=666&when=2004;;;;
2004;20/08;;MOCA 2004;Dyne.org village settles tents at the Metro Olografix hacker camp in Pescara, Italy;;;;;https://www.olografix.org/timeline-25-anni/;;;;
;;;;;;;;;;;;;
2005;;;Dyne.org Foundation;Dyne.org acquires non-profit foundation status in Amsterdam thanks to a board of directors including Heiner Holtappels (director of Montevideo/Time Based Arts) and Robert de Geuss (open-source software entrepreneur);0;;;;;;;;
2005;January;;India;Dyne.org's developer Jaromil tours India giving various workshops and then volunteering for the Tsunami relief in Tamil Nadu. Among the workshops given, one is held at the National Design Institute in Ahmedabad, about free and open source software design;;;;;;;;;
;;;;;;;;;;;;;
2006;11/05;;ASCII;"Dyne.org hosts the ""hackers lounge"" at the ASCII squat: a weekly lab about security hacking, from the good ol days to the 0-day.";;;;;https://en.wikipedia.org/wiki/ASCII_(squat);;;;
2006;07/06;;Transmission;With the participation of many Dyne.org hackers, Transmission.cc takes place for the first time in the CSOA Forte Prenestino (Roma) as a meeting of international online video distribution projects for social change.;;;;;;;;;
2006;08/06;;dyne:bolic v2;Version 2 of the 100% free operating system dyne:bolic is released, codename DHORUBA;0;software;;;https://dynebolic.org;;;;
2006;22/06;;I LOVE YOU;The I LOVE YOU exhibition on hacker art tours across Serbia: Kuda (Novi Sad) and BELEF (Belgrade);;art;;;http://www.digitalcraft.org/www/html/iloveyou/;;;;
;;;;;;;;;;;;;
2007;;;Bricolabs;;;;;;;;;;
2007;08/08;;CCCamp;The Dyne.org village settles its tents for the first time in the Chaos Computer Camp together with Servus.at;0;;;;;;;;
2007;May;;Goodbye Privacy;"The ""goobye privacy"" symposium takes place in the Ars Electronica Festival, curated by Armin Medosh. Jaromil delivers a speech about piracy, privacy and thought control, in memory of Toni Onuoha.";0;;;;https://noemalab.eu/memo/events/goodbye-privacy-ars-electronica-2007/;;;;
;;;;;;;;;;;;;
2008;12/06;;Hackerspace festival;The first hackerspace festival is hosted by tmp/lab in Paris, with the partecipation of Dyne.org;;;;;http://hackerspaces.org;;;;
2008;11/08;;House of Natural Fibers;The Indonesian collective House of Natural Fibers (HONF) organizes the Yogyakarta International Media art festival, hosting Dyne.org hackers into the program. This is the beginning of a long friendship and exchange with Indonesian hackers.;;;;;;;;;
;;;;;;;;;;;;;
2009;January;;Vilém Flusser Award;Jaromil is awarded with the Vilém Flusser prize together with theorist Brian Holmes, while leading the R&D of Montevideo / Time Based Arts artlab.;0;;;;;;;;
2009;02/03;;Wintercamp;The Dyne.org crew at large has a possibility to gather at the Wintercamp in Amsterdam, organized by the Institute of Network Cultures. This is the first time international hackers from the dyne.org network can travel from all over the world to meet together in one place.;;;;;https://networkcultures.org/wintercamp/2009/03/08/opening-eyes-and-earlids/;;;;
